<galaxypower>	<timestamp>
0.0	26386074.025732707
0.0802675585284	26307512.34931034
0.160535117057	26534960.441257566
0.240802675585	26585633.113829073
0.321070234114	26685339.663449325
0.401337792642	27004290.510844566
0.481605351171	26820002.946594287
0.561872909699	26815842.33586373
0.642140468227	26953613.198127646
0.722408026756	27106014.294515688
0.802675585284	27088730.060325295
0.882943143813	27074999.16229069
0.963210702341	27172736.24303772
1.04347826087	27171891.39999982
1.1237458194	27214511.089401595
1.20401337793	27313354.25224784
1.28428093645	27170639.096059997
1.36454849498	27114681.519870404
1.44481605351	27488299.54061909
1.52508361204	27727326.72587992
1.60535117057	27875911.808313914
1.6856187291	27870406.75436372
1.76588628763	27800972.451855857
1.84615384615	27869323.705507305
1.92642140468	27894084.249129668
2.00668896321	28052249.876571674
2.08695652174	28281303.124042694
2.16722408027	28592364.861010496
2.2474916388	28695456.447930492
2.32775919732	28853491.977270905
2.40802675585	28936956.982429955
2.48829431438	28858678.80204336
2.56856187291	28949749.697263762
2.64882943144	29213867.872112654
2.72909698997	29443957.255536642
2.80936454849	29472445.746646885
2.88963210702	29426490.03756635
2.96989966555	29528278.927705474
3.05016722408	29478564.78035123
3.13043478261	29499984.552490257
3.21070234114	29353423.439685035
3.29096989967	29233111.897416573
3.37123745819	29219840.503148016
3.45150501672	29214268.106047843
3.53177257525	29358733.74679128
3.61204013378	29478215.01048364
3.69230769231	29523138.710328832
3.77257525084	29466601.23292445
3.85284280936	29416804.82924445
3.93311036789	29160616.01886373
4.01337792642	29100480.86365772
4.09364548495	29224871.793824155
4.17391304348	29169579.90475969
4.25418060201	29253345.422151145
4.33444816054	29358562.721165176
4.41471571906	29336089.1998243
4.49498327759	29219897.253163647
4.57525083612	29239407.734082323
4.65551839465	29317985.97064914
4.73578595318	29168190.126878712
4.81605351171	29082319.610840127
4.89632107023	28991658.689096842
4.97658862876	29013892.650754873
5.05685618729	29063122.38767317
5.13712374582	29116400.182787273
5.21739130435	29180062.22776825
5.29765886288	29143465.64247711
5.3779264214	28888571.657332197
5.45819397993	28633583.89564968
5.53846153846	28466027.012511022
5.61872909699	28214391.03914958
5.69899665552	28005954.882493578
5.77926421405	27792269.15001755
5.85953177258	27623675.292775348
5.9397993311	27413822.34663207
6.02006688963	27217761.209788457
6.10033444816	26898768.151157554
6.18060200669	26604898.831901852
6.26086956522	26370165.018806104
6.34113712375	26105343.532129332
6.42140468227	25781441.737241134
6.5016722408	25523233.19259117
6.58193979933	25344842.904568363
6.66220735786	25103410.137812365
6.74247491639	24929014.81527
6.82274247492	24608505.941761233
6.90301003344	24364071.144984864
6.98327759197	24139286.124809787
7.0635451505	23924448.904374283
7.14381270903	23686168.141762916
7.22408026756	23437539.06473665
7.30434782609	23261120.71698003
7.38461538462	22990433.243230242
7.46488294314	22778707.267157193
7.54515050167	22577767.29902925
7.6254180602	22417251.183358062
7.70568561873	22234446.866290677
7.78595317726	22045758.813332263
7.86622073579	21842567.5058236
7.94648829431	21650945.398947235
8.02675585284	21424026.70626568
8.10702341137	21300939.69090519
8.1872909699	21149625.330946002
8.26755852843	20883902.259038847
8.34782608696	20739807.440434676
8.42809364548	20582265.021727093
8.50836120401	20436833.90191794
8.58862876254	20281579.039076757
8.66889632107	20201465.955203496
8.7491638796	20058596.852847606
8.82943143813	19905180.834725175
8.90969899666	19790741.494558316
8.98996655518	19691069.364328135
9.07023411371	19566290.01632973
9.15050167224	19481357.123661842
9.23076923077	19420445.421228193
9.3110367893	19394662.2658889
9.39130434783	19350400.60041847
9.47157190635	19300516.752096433
9.55183946488	19216290.283699136
9.63210702341	19179839.842137862
9.71237458194	19195113.257234152
9.79264214047	19236163.32901061
9.872909699	19231320.262188442
9.95317725753	19335598.11212322
10.0334448161	19359169.662305392
10.1137123746	19446981.43430194
10.1939799331	19480837.56043078
10.2742474916	19496536.409341548
10.3545150502	19533540.381098997
10.4347826087	19676853.723130267
10.5150501672	19792477.243888523
10.5953177258	19927252.648761503
10.6755852843	20050307.105354305
10.7558528428	20086099.133246586
10.8361204013	20055094.40163264
10.9163879599	20217305.639923178
10.9966555184	20283246.356386892
11.0769230769	20453215.296236727
11.1571906355	20615868.931467205
11.237458194	20677180.599909052
11.3177257525	20759199.938661058
11.397993311	20845793.166977532
11.4782608696	21030133.041466832
11.5585284281	21177576.081820536
11.6387959866	21312942.618897103
11.7190635452	21433558.206398707
11.7993311037	21465434.81756174
11.8795986622	21541159.54892496
11.9598662207	21601678.080159914
12.0401337793	21745580.070507824
12.1204013378	21937012.5944476
12.2006688963	22137015.05233815
12.2809364548	22270442.851272117
12.3612040134	22401855.147515412
12.4414715719	22461809.247102298
12.5217391304	22601574.89235982
12.602006689	22783958.417735733
12.6822742475	22966679.81359551
12.762541806	23143170.342886783
12.8428093645	23338970.66666507
12.9230769231	23631944.07559362
13.0033444816	23983574.500716314
13.0836120401	24411956.352025658
13.1638795987	24769777.178027775
13.2441471572	25004963.751355432
13.3244147157	25392079.555293433
13.4046822742	26191281.17442983
13.4849498328	27104672.610893603
13.5652173913	28156337.48375165
13.6454849498	28227507.398938745
13.7257525084	28307071.52851323
13.8060200669	28513966.843887202
13.8862876254	29048084.834738433
13.9665551839	29457790.28473619
14.0468227425	29732113.6073058
14.127090301	29690965.0704394
14.2073578595	29627551.72324371
14.2876254181	29697194.58599899
14.3678929766	30125310.71327133
14.4481605351	30403462.600050867
14.5284280936	30448118.879894592
14.6086956522	30508861.2496895
14.6889632107	30501836.588596717
14.7692307692	30232848.77826125
14.8494983278	30522733.131387882
14.9297658863	31263614.926707365
15.0100334448	30657751.43168647
15.0903010033	30593610.580000184
15.1705685619	30406590.687507372
15.2508361204	30741010.687986616
15.3311036789	30718866.717874855
15.4113712375	30906307.47338983
15.491638796	31300557.9295442
15.5719063545	30538089.49051879
15.652173913	30631624.90088761
15.7324414716	30674062.83040263
15.8127090301	30561733.310984366
15.8929765886	30947021.20462597
15.9732441472	30628597.312898513
16.0535117057	30612830.682974633
16.1337792642	30416278.210050058
16.2140468227	30385503.869575795
16.2943143813	30382856.02796354
16.3745819398	30064942.848600272
16.4548494983	30036710.0743134
16.5351170569	29924541.11753268
16.6153846154	29566915.301530156
16.6956521739	29310708.73013242
16.7759197324	29121875.104267303
16.856187291	29135350.315195363
16.9364548495	29042361.566435877
17.016722408	29019317.253125835
17.0969899666	28823135.47405364
17.1772575251	28679940.42957041
17.2575250836	28676002.246843655
17.3377926421	28670321.64234841
17.4180602007	28605041.623784494
17.4983277592	28867451.843880348
17.5785953177	29007591.92463932
17.6588628763	29074866.149913315
17.7391304348	29054919.212432493
17.8193979933	29337618.646506898
17.8996655518	29270178.301608156
17.9799331104	29386380.91493721
18.0602006689	29894678.752695654
18.1404682274	30111163.94630999
18.220735786	30228555.366339367
18.3010033445	30711812.367784727
18.381270903	30670948.346432347
18.4615384615	30969388.492843833
18.5418060201	31391394.117419474
18.6220735786	31960640.21090614
18.7023411371	31991447.25059485
18.7826086957	32621506.826837946
18.8628762542	32999314.711478002
18.9431438127	33549128.609896637
19.0234113712	34053829.79103748
19.1036789298	34388753.76773956
19.1839464883	35084287.43589112
19.2642140468	35558802.88597192
19.3444816054	35956913.592392296
19.4247491639	37102613.89078358
19.5050167224	37956310.7461883
19.5852842809	38451685.300060354
19.6655518395	38703309.0724001
19.745819398	39451949.588355795
19.8260869565	39477430.127342686
19.9063545151	40362669.9018573
19.9866220736	41566506.95080663
20.0668896321	42332879.053308934
20.1471571906	42630420.76489725
20.2274247492	42411306.98981757
20.3076923077	42048606.6831177
20.3879598662	41914422.71372142
20.4682274247	42221776.145949684
20.5484949833	42570568.39063287
20.6287625418	43114601.940313675
20.7090301003	43043283.96244959
20.7892976589	42871271.92265536
20.8695652174	42129569.19610747
20.9498327759	41345804.40743883
21.0301003344	39591955.691105425
21.110367893	38803512.750126846
21.1906354515	38498751.879788995
21.27090301	38182174.252638325
21.3511705686	37448460.96965714
21.4314381271	37051560.090468474
21.5117056856	36346724.86734626
21.5919732441	35596925.16864061
21.6722408027	35175193.5020161
21.7525083612	34711374.22130766
21.8327759197	33987370.89530345
21.9130434783	33367752.008457754
21.9933110368	32904967.730582602
22.0735785953	32364222.041086487
22.1538461538	31704482.153381415
22.2341137124	31584754.58971845
22.3143812709	30940577.761934508
22.3946488294	30534709.833653938
22.474916388	30088355.840218965
22.5551839465	29593955.145632904
22.635451505	29282240.65556533
22.7157190635	28817500.934704132
22.7959866221	28529709.749134395
22.8762541806	28199666.81694328
22.9565217391	27967454.155882947
23.0367892977	27752681.33756779
23.1170568562	27574317.21617427
23.1973244147	27290047.460909367
23.2775919732	26990461.25497981
23.3578595318	26886415.550624445
23.4381270903	26680701.354912106
23.5183946488	26593882.206910837
23.5986622074	26407034.388196148
23.6789297659	26363612.27890878
23.7591973244	26339042.136564616
23.8394648829	26332157.09711728
23.9197324415	26368230.753843978
24.0	26386074.025732707
