<galaxypower>	<timestamp>
0.0	30390489.225567266
0.0802675585284	30155571.19110208
0.160535117057	30082417.348940115
0.240802675585	30061940.106965978
0.321070234114	30039215.379806962
0.401337792642	29947219.19495203
0.481605351171	29924450.165915817
0.561872909699	29878057.750855695
0.642140468227	30018070.07587405
0.722408026756	30171644.379010335
0.802675585284	30272304.848170217
0.882943143813	30213656.97570317
0.963210702341	30256940.595464256
1.04347826087	30331279.869459424
1.1237458194	30578630.493312705
1.20401337793	30737286.203965295
1.28428093645	30921628.847675372
1.36454849498	31125349.577012327
1.44481605351	31241150.321834307
1.52508361204	31327539.255209576
1.60535117057	31398352.203866675
1.6856187291	31583146.77524209
1.76588628763	31712322.812217522
1.84615384615	31932887.258431762
1.92642140468	32210061.27449479
2.00668896321	32336387.632544506
2.08695652174	32523024.599110506
2.16722408027	32718754.6975147
2.2474916388	32789364.40039438
2.32775919732	32969758.600007966
2.40802675585	33217347.85139741
2.48829431438	33378596.079401217
2.56856187291	33608056.06545404
2.64882943144	33710551.68486674
2.72909698997	33858197.712629154
2.80936454849	33876640.25395541
2.88963210702	33928929.476719454
2.96989966555	33996405.90258522
3.05016722408	34089797.17407579
3.13043478261	34288690.67897474
3.21070234114	34420901.04299764
3.29096989967	34570947.627009116
3.37123745819	34797613.919889085
3.45150501672	34983764.8150439
3.53177257525	34999246.63079416
3.61204013378	35164452.944840506
3.69230769231	35250895.47628901
3.77257525084	35296399.39203452
3.85284280936	35268533.13827295
3.93311036789	35297935.899212055
4.01337792642	35391771.41927729
4.09364548495	35590133.421278626
4.17391304348	35618624.56077223
4.25418060201	35774424.69107412
4.33444816054	35735730.750776745
4.41471571906	35733983.64806578
4.49498327759	35826393.509458534
4.57525083612	35867095.04291726
4.65551839465	35901501.0265726
4.73578595318	35962755.03640379
4.81605351171	35951855.7021797
4.89632107023	35895980.67351313
4.97658862876	35799846.660419084
5.05685618729	35835747.82462051
5.13712374582	35840556.87044044
5.21739130435	35663036.88554921
5.29765886288	35602326.017173864
5.3779264214	35503983.328306526
5.45819397993	35384348.50262836
5.53846153846	35346800.33173919
5.61872909699	35254262.882552035
5.69899665552	35079457.37675993
5.77926421405	34809991.49798696
5.85953177258	34588110.129566625
5.9397993311	34258919.34362328
6.02006688963	34068151.331962496
6.10033444816	33847784.67964104
6.18060200669	33538115.750357777
6.26086956522	33270935.17922275
6.34113712375	32874586.6685533
6.42140468227	32514948.235954303
6.5016722408	32248324.643376306
6.58193979933	31874625.903674096
6.66220735786	31536522.63234249
6.74247491639	31096415.144787293
6.82274247492	30521855.549368076
6.90301003344	30166765.56650844
6.98327759197	29812495.06562067
7.0635451505	29474107.68223762
7.14381270903	29114616.616539065
7.22408026756	28663776.671629798
7.30434782609	28168974.756037064
7.38461538462	27715939.053801894
7.46488294314	27340920.119589817
7.54515050167	26981254.621072616
7.6254180602	26563005.58869248
7.70568561873	26218042.249641817
7.78595317726	25788361.212156747
7.86622073579	25399870.198038742
7.94648829431	25065760.361102726
8.02675585284	24771000.170263764
8.10702341137	24399076.55887288
8.1872909699	24098922.44976217
8.26755852843	23848387.221165318
8.34782608696	23477207.146740533
8.42809364548	23184690.163990483
8.50836120401	22912879.48282974
8.58862876254	22774385.751510445
8.66889632107	22540410.192496024
8.7491638796	22414357.32236731
8.82943143813	22224409.134435378
8.90969899666	22026041.731085863
8.98996655518	21826922.078983042
9.07023411371	21804966.066987418
9.15050167224	21740130.67172561
9.23076923077	21573402.38835644
9.3110367893	21497621.672615614
9.39130434783	21414821.4078623
9.47157190635	21348428.606530923
9.55183946488	21375952.23668476
9.63210702341	21420381.226797756
9.71237458194	21384709.78777653
