<galaxypower>	<timestamp>
0.0	33143071.385058787
0.0802675585284	32970500.337455615
0.160535117057	33030549.99266013
0.240802675585	33011981.350024037
0.321070234114	33116194.559698056
0.401337792642	33105441.617528442
0.481605351171	33013307.121095113
0.561872909699	32718195.28828286
0.642140468227	32588278.115939382
0.722408026756	32743481.644045107
0.802675585284	32776252.612072293
0.882943143813	32619612.641557965
0.963210702341	32626936.18176968
1.04347826087	32594570.007083997
1.1237458194	32925922.979355566
1.20401337793	33121407.95833743
1.28428093645	33505499.71615458
1.36454849498	34087127.316967964
1.44481605351	34342403.94722639
1.52508361204	34467516.07139201
1.60535117057	34808945.871031776
1.6856187291	35066625.05176754
1.76588628763	35504063.982815124
1.84615384615	36377476.07293017
1.92642140468	37349434.916008405
2.00668896321	37824553.03964358
2.08695652174	38642881.532551885
2.16722408027	40017427.006598696
2.2474916388	40346865.12155339
2.32775919732	40988810.473764084
2.40802675585	41762720.363538325
2.48829431438	42290619.53312937
2.56856187291	42627175.112004854
2.64882943144	42184013.453901276
2.72909698997	42528553.74005958
2.80936454849	42168429.38690885
2.88963210702	42213946.52513369
2.96989966555	42167753.5752834
3.05016722408	41607206.56556565
3.13043478261	40927606.51098581
3.21070234114	40394868.24448291
3.29096989967	39867217.11621192
3.37123745819	39547446.03177904
3.45150501672	39379198.053711966
3.53177257525	38625534.2505484
3.61204013378	37606782.710275546
3.69230769231	37044815.01732101
3.77257525084	36797277.48844444
3.85284280936	36128455.36203599
3.93311036789	35445446.96104587
4.01337792642	34918929.30060247
4.09364548495	34607106.93270202
4.17391304348	33991661.77166877
4.25418060201	33651251.44820286
4.33444816054	33165643.882093586
4.41471571906	33147697.828527853
4.49498327759	32966429.638101503
4.57525083612	33074660.31251861
4.65551839465	33176602.39740168
4.73578595318	33135255.271481812
4.81605351171	33039875.463162366
4.89632107023	32742729.91814075
4.97658862876	32481456.382113393
5.05685618729	32454242.568410795
5.13712374582	32517538.09311272
5.21739130435	32543305.801915985
5.29765886288	32331626.385666743
5.3779264214	32136755.049538102
5.45819397993	31914649.801157467
5.53846153846	31893602.422736373
5.61872909699	31741358.993731968
5.69899665552	31717472.903429296
5.77926421405	31554426.362559456
5.85953177258	31527367.638806652
5.9397993311	31301209.18963163
6.02006688963	31067167.63219415
6.10033444816	30952418.605428055
6.18060200669	30656085.617619943
6.26086956522	30458726.030250255
6.34113712375	30357563.240759462
6.42140468227	30394324.863312587
6.5016722408	30342430.60440038
6.58193979933	30196675.537916917
6.66220735786	30147321.611991324
6.74247491639	29990213.78710521
6.82274247492	29707451.90354883
6.90301003344	29700087.582528587
6.98327759197	29759200.692705356
7.0635451505	29675102.6029591
7.14381270903	29691200.877442155
7.22408026756	29476485.52643507
7.30434782609	29344376.834973026
7.38461538462	29290854.179437723
7.46488294314	29260773.66571154
7.54515050167	29250442.556911983
7.6254180602	29178725.721853245
7.70568561873	29248204.914999418
7.78595317726	29167823.67158801
7.86622073579	29364670.682526533
7.94648829431	29506883.66542145
8.02675585284	29646526.399922144
8.10702341137	29598050.464174516
8.1872909699	29506594.414238907
8.26755852843	29609220.839338165
8.34782608696	29641907.354742993
8.42809364548	29516171.060661487
8.50836120401	29651750.04772156
8.58862876254	30019629.55640884
8.66889632107	29984766.235941768
8.7491638796	30153527.681470215
8.82943143813	30406544.826204203
8.90969899666	30450992.781672817
8.98996655518	30493713.84871984
9.07023411371	30637271.244265277
9.15050167224	30700523.17033299
9.23076923077	30599890.212083414
9.3110367893	30774605.415278506
9.39130434783	30998156.57648155
9.47157190635	30972232.981404178
9.55183946488	31333516.26772266
9.63210702341	31313303.607862987
9.71237458194	31410649.530500215
9.79264214047	31582199.847935602
9.872909699	31967239.675382707
9.95317725753	32040069.806811772
10.0334448161	32181967.48482375
10.1137123746	32335683.115072552
10.1939799331	32475544.654117458
10.2742474916	32661081.749448825
10.3545150502	32771222.042325117
10.4347826087	33177648.109782957
10.5150501672	33454709.68235578
10.5953177258	33665964.279273234
10.6755852843	33798657.31065931
10.7558528428	34096951.35569785
10.8361204013	34472347.11374638
10.9163879599	34834656.198618025
10.9966555184	35176085.61206349
11.0769230769	35486383.73126121
11.1571906355	35821348.32561336
11.237458194	36293471.02974644
11.3177257525	36469239.092009604
11.397993311	36870430.21110753
11.4782608696	37374480.96943946
11.5585284281	37549186.194274776
11.6387959866	37682376.218237884
11.7190635452	38017262.09898078
11.7993311037	38104280.28542434
11.8795986622	38018465.98424147
11.9598662207	38402285.11422098
12.0401337793	39230591.18662583
12.1204013378	39599850.6221118
12.2006688963	40116892.35456114
12.2809364548	40331552.67129374
12.3612040134	40882808.74561305
12.4414715719	41299635.47865907
12.5217391304	41642488.134793684
12.602006689	42261828.293500476
12.6822742475	43260095.06097349
12.762541806	44036744.98822974
12.8428093645	44940536.845187254
12.9230769231	46239550.81357784
13.0033444816	48066899.186702795
13.0836120401	50719851.40486268
13.1638795987	53917378.7684069
13.2441471572	58452772.73624034
13.3244147157	63654908.65501809
13.4046822742	72359378.80455706
13.4849498328	74329424.28050669
13.5652173913	69094841.24649292
13.6454849498	65544800.80613202
13.7257525084	66626056.66473263
13.8060200669	70329057.42134334
13.8862876254	72087386.02989349
13.9665551839	74330306.05814934
14.0468227425	69641704.69563164
14.127090301	65762307.56986516
14.2073578595	64349390.719151564
14.2876254181	65416760.69943134
14.3678929766	66566014.3809684
14.4481605351	65830802.03179819
14.5284280936	61258193.46775548
14.6086956522	59212655.918136165
14.6889632107	58101404.986547545
14.7692307692	58303424.411682166
14.8494983278	57800609.52787223
14.9297658863	56073428.430481985
15.0100334448	53285055.1214582
15.0903010033	51191726.075007424
15.1705685619	50628886.80441199
15.2508361204	49403995.869640954
15.3311036789	48749577.50205278
15.4113712375	48225207.82997135
15.491638796	45422662.40844531
15.5719063545	44543793.72535492
15.652173913	44334089.800366096
15.7324414716	43394173.04842799
15.8127090301	42909169.75597508
15.8929765886	43002300.73947713
15.9732441472	42416127.085302435
16.0535117057	41890256.18107892
16.1337792642	41207664.67828876
16.2140468227	40722833.831241235
16.2943143813	40418782.74705068
16.3745819398	40367418.08037992
16.4548494983	40858477.942440644
16.5351170569	40898806.5876479
16.6153846154	41234049.983264275
16.6956521739	41208822.07741222
16.7759197324	40036870.04408234
16.856187291	39782771.18933928
16.9364548495	39934710.214711644
17.016722408	40352601.71459799
17.0969899666	39820077.82733573
17.1772575251	39580836.350542836
17.2575250836	39141210.29810576
17.3377926421	39517453.92351184
17.4180602007	39270895.81583192
17.4983277592	38859359.53415472
17.5785953177	38349660.85767562
17.6588628763	38103215.68975655
17.7391304348	38429234.07865374
17.8193979933	38042003.953101456
17.8996655518	37164435.5937168
17.9799331104	36814475.826847084
18.0602006689	36455750.01358469
18.1404682274	36310051.23293598
18.220735786	36091948.137871265
18.3010033445	35579786.65797007
18.381270903	35183707.89457951
18.4615384615	34969058.32345242
18.5418060201	34800395.49358023
18.6220735786	34943477.80692512
18.7023411371	34946008.25857729
18.7826086957	34878194.81336248
18.8628762542	35116594.36906763
18.9431438127	35209272.72799195
19.0234113712	35112549.82862946
19.1036789298	35262515.780116335
19.1839464883	35278549.725581884
19.2642140468	35439208.5943682
19.3444816054	35673048.73056367
19.4247491639	36022363.43754062
19.5050167224	36382433.66062422
19.5852842809	36967828.37148978
19.6655518395	37528336.69126826
19.745819398	37770232.31164331
19.8260869565	38095533.96029322
19.9063545151	38716776.62249744
19.9866220736	39145540.30185522
20.0668896321	39319793.08395616
20.1471571906	39092181.51029957
20.2274247492	39278786.40776726
20.3076923077	39358772.02220948
20.3879598662	39777559.01654868
20.4682274247	39515535.2854415
20.5484949833	39378575.70422747
20.6287625418	39231830.06987739
20.7090301003	38473577.09113749
20.7892976589	37944271.51825778
20.8695652174	37345684.637954354
20.9498327759	36888452.04608258
21.0301003344	36768864.37856762
21.110367893	36475742.3326852
21.1906354515	36400015.347157985
21.27090301	35898702.3888513
21.3511705686	35447376.22989271
21.4314381271	35019764.00049763
21.5117056856	34887711.6545576
21.5919732441	34840043.17816104
21.6722408027	35024576.434074074
21.7525083612	35169419.57902237
21.8327759197	35147760.73817585
21.9130434783	35272595.52950846
21.9933110368	35604589.66795257
22.0735785953	36238810.215809256
22.1538461538	36465558.88211126
22.2341137124	37038604.06386608
22.3143812709	37056387.89838272
22.3946488294	37389922.35739845
22.474916388	37882412.05639221
22.5551839465	38169609.74970736
22.635451505	37920914.22312264
22.7157190635	37684388.67802271
22.7959866221	37833551.9496576
22.8762541806	37348259.75074335
22.9565217391	37127767.03872552
23.0367892977	36736754.16492934
23.1170568562	37078188.69517901
23.1973244147	36003628.354241185
23.2775919732	35256298.29094471
23.3578595318	35120535.84227792
23.4381270903	34546506.571328975
23.5183946488	34154497.63050744
23.5986622074	33933412.74676176
23.6789297659	33758929.66941868
23.7591973244	33684850.57536102
23.8394648829	33622862.995274715
23.9197324415	33627499.71348937
24.0	33143071.385058787
