<galaxypower>	<timestamp>
0.0	110782953.03863169
0.0802675585284	109797479.1856172
0.160535117057	110149816.42638221
0.240802675585	109793326.03325069
0.321070234114	110632100.77485366
0.401337792642	110200838.61867787
0.481605351171	109927019.29118231
0.561872909699	108796220.00692578
0.642140468227	108584591.16016461
0.722408026756	109606758.50779153
0.802675585284	109363018.90902522
0.882943143813	108047798.99439517
0.963210702341	107195394.56560254
1.04347826087	107139582.17585674
1.1237458194	107223245.17692135
1.20401337793	107186700.31532526
1.28428093645	107031877.62615706
1.36454849498	107098875.35653721
1.44481605351	106529358.3556521
1.52508361204	106005403.48714598
1.60535117057	104899322.47901322
1.6856187291	104199727.79038428
1.76588628763	103726653.06694756
1.84615384615	103466735.5525303
1.92642140468	104040104.3516873
2.00668896321	103685439.37366766
2.08695652174	103444067.79821563
2.16722408027	103283403.10435414
2.2474916388	102699272.92636251
2.32775919732	102752642.8411594
2.40802675585	102898025.10516512
2.48829431438	102611273.99093767
2.56856187291	102474232.23325463
2.64882943144	102053089.48177856
2.72909698997	101886202.23638096
2.80936454849	101254533.35368946
2.88963210702	101066947.16892825
2.96989966555	100949785.36017044
3.05016722408	100874570.44179276
3.13043478261	100739430.18913373
3.21070234114	100359727.18015215
3.29096989967	100102464.52207512
3.37123745819	100377387.55585064
3.45150501672	100719845.81639592
3.53177257525	100248358.02621657
3.61204013378	100169745.42017776
3.69230769231	100081486.81198516
3.77257525084	100243338.69989029
3.85284280936	99690364.11142392
3.93311036789	99118784.13954575
4.01337792642	98907284.20719637
4.09364548495	98792319.23410523
4.17391304348	98057941.23607326
4.25418060201	98583517.6064375
4.33444816054	98836231.73569085
4.41471571906	98587974.18005942
4.49498327759	98184510.36751775
4.57525083612	97418958.15784918
4.65551839465	96973349.08107917
4.73578595318	96732197.99327224
4.81605351171	96543813.53914656
4.89632107023	96311293.60396518
4.97658862876	95385958.87608548
5.05685618729	95162570.31551255
5.13712374582	95259694.98347622
5.21739130435	95209184.78035793
5.29765886288	95005513.12030607
5.3779264214	94268511.64404207
5.45819397993	94004019.23391403
5.53846153846	93891773.73826164
5.61872909699	93819002.92640655
5.69899665552	93815577.30300926
5.77926421405	93719704.66856943
5.85953177258	93509781.60530141
5.9397993311	93116627.46754466
6.02006688963	92747915.55201496
6.10033444816	92577393.83307153
6.18060200669	92500356.40494706
6.26086956522	92208654.31648666
6.34113712375	91958324.63995203
6.42140468227	91751249.93973368
6.5016722408	91518949.19213668
6.58193979933	91220786.07885332
6.66220735786	91291764.25552401
6.74247491639	91457800.10023962
6.82274247492	90650681.95877972
6.90301003344	90591966.3480557
6.98327759197	90327209.30185458
7.0635451505	90150870.65315469
7.14381270903	90069985.99740702
7.22408026756	89796675.12889773
7.30434782609	89523500.07682484
7.38461538462	89177059.57072005
7.46488294314	89021300.04632418
7.54515050167	88939284.49099524
7.6254180602	88792245.22555576
7.70568561873	88657584.29393654
7.78595317726	88397458.69332047
7.86622073579	88081440.24723566
7.94648829431	88079541.59364258
8.02675585284	88274769.4852149
8.10702341137	87822164.07827587
8.1872909699	87522100.47768372
8.26755852843	87581068.21199818
8.34782608696	87220809.9841767
8.42809364548	86779426.80679843
8.50836120401	86642753.74821274
8.58862876254	86816388.76512563
8.66889632107	86971609.73486648
8.7491638796	87010562.04146302
8.82943143813	86896284.94167158
8.90969899666	86822021.15072353
8.98996655518	86516364.99688716
9.07023411371	86744020.75153689
9.15050167224	86759841.37207572
9.23076923077	86722985.60394946
9.3110367893	86698680.88562942
9.39130434783	86779017.8428907
9.47157190635	86694969.55447009
9.55183946488	87124114.58885428
9.63210702341	87362337.77409624
9.71237458194	87285939.4747501
9.79264214047	87352261.084171
9.872909699	87371311.5393085
9.95317725753	87453236.43132895
10.0334448161	87800004.63722515
10.1137123746	88294185.71954888
10.1939799331	88078488.31118605
10.2742474916	88063262.63766316
10.3545150502	88084519.17159909
10.4347826087	88417690.77463983
10.5150501672	88720363.72750409
10.5953177258	88846563.05025484
10.6755852843	88976863.71183169
10.7558528428	89098472.26407184
10.8361204013	89327407.69257388
10.9163879599	89614501.63392095
10.9966555184	90003517.78220415
11.0769230769	90203596.46168847
11.1571906355	90541985.39666066
11.237458194	91077922.37408148
11.3177257525	91393381.1244232
