<galaxypower>	<timestamp>
0.0	29633544.75479685
0.0802675585284	29525757.42689552
0.160535117057	29413367.396109156
0.240802675585	29333217.202368278
0.321070234114	29316479.448109783
0.401337792642	29307750.882572033
0.481605351171	29361755.36924047
0.561872909699	29258850.168379135
0.642140468227	29265200.706890095
0.722408026756	29378866.84868372
0.802675585284	29327231.8727642
0.882943143813	29296774.5244747
0.963210702341	29383597.408967737
1.04347826087	29455173.106034063
1.1237458194	29519952.459289603
1.20401337793	29606878.847669996
1.28428093645	29698433.565090843
1.36454849498	29787391.300179087
1.44481605351	29997890.159883313
1.52508361204	30103759.59238785
1.60535117057	30143942.460965183
1.6856187291	30225001.555159416
1.76588628763	30313247.68554699
1.84615384615	30499154.86303305
1.92642140468	30672642.252254285
2.00668896321	30843706.59116713
2.08695652174	30975560.371819887
2.16722408027	31090719.15910945
2.2474916388	31180124.735035192
2.32775919732	31229868.584754344
2.40802675585	31369255.065727003
2.48829431438	31502524.97210826
2.56856187291	31757263.706127394
2.64882943144	31962925.918728936
2.72909698997	32058624.062875807
2.80936454849	32148827.220414877
2.88963210702	32327211.37604337
2.96989966555	32381354.78434247
3.05016722408	32607098.196805574
3.13043478261	32872275.29803095
3.21070234114	32999754.54673188
3.29096989967	33132340.306563236
3.37123745819	33239035.46207806
3.45150501672	33414960.900107704
3.53177257525	33617505.184524
3.61204013378	33787829.556148365
3.69230769231	33926656.50376958
3.77257525084	34019289.55357688
3.85284280936	34128940.83742834
3.93311036789	34382402.013904996
4.01337792642	34655254.5252622
4.09364548495	34891791.30699852
4.17391304348	35098844.347611636
4.25418060201	35198959.19156891
4.33444816054	35322218.14011287
4.41471571906	35474948.65474454
4.49498327759	35634118.66596889
4.57525083612	35746246.099474736
4.65551839465	35895690.676620774
4.73578595318	36017992.94615323
4.81605351171	36153887.48680319
4.89632107023	36201599.31721156
4.97658862876	36332396.045828804
5.05685618729	36420169.73573738
5.13712374582	36557600.54980691
5.21739130435	36495988.11225115
5.29765886288	36553986.85431642
5.3779264214	36535031.22748723
5.45819397993	36601991.18928936
5.53846153846	36709489.583644435
5.61872909699	36692490.141780466
5.69899665552	36490694.36268237
5.77926421405	36327885.12826648
5.85953177258	36152471.0343633
5.9397993311	35964624.284170404
6.02006688963	35837119.36516315
6.10033444816	35599434.676221564
6.18060200669	35223256.22137255
6.26086956522	34997491.74804739
6.34113712375	34628677.392751396
6.42140468227	34326823.438159406
6.5016722408	34065231.81432049
6.58193979933	33646884.641359404
6.66220735786	33123467.081162162
6.74247491639	32797340.496646035
6.82274247492	32294741.065238208
6.90301003344	31916923.669840593
6.98327759197	31491162.99643873
7.0635451505	31054961.85149326
7.14381270903	30469160.74467471
7.22408026756	29930601.388999697
7.30434782609	29464485.88383273
7.38461538462	29027136.707414024
7.46488294314	28549555.73882291
7.54515050167	28122171.25119751
7.6254180602	27559387.66407948
7.70568561873	26984654.586746536
7.78595317726	26497148.772705775
7.86622073579	26111304.85222093
7.94648829431	25636599.767826494
8.02675585284	25315478.495789655
8.10702341137	24863196.28864125
8.1872909699	24388260.04621672
8.26755852843	23925080.98063756
8.34782608696	23581411.166465443
8.42809364548	23233986.46518701
8.50836120401	22945829.927564457
8.58862876254	22658384.627101995
8.66889632107	22283231.50324756
8.7491638796	21962345.01374307
8.82943143813	21724445.669481937
8.90969899666	21567070.226113465
8.98996655518	21362840.65636189
9.07023411371	21175444.729789708
9.15050167224	20921435.928718653
9.23076923077	20728053.354077503
9.3110367893	20605663.676099736
9.39130434783	20494630.037375983
9.47157190635	20484696.33969222
9.55183946488	20408996.52721008
9.63210702341	20279042.36163291
9.71237458194	20204252.99538508
9.79264214047	20141650.596609443
9.872909699	20166416.037361354
9.95317725753	20195197.301438328
10.0334448161	20210819.907342635
10.1137123746	20278400.290111247
10.1939799331	20258368.11992322
10.2742474916	20270793.74573496
10.3545150502	20382252.43480134
10.4347826087	20498266.230253197
10.5150501672	20542501.75079051
10.5953177258	20704567.359141782
10.6755852843	20768210.085177176
10.7558528428	20878971.051472925
10.8361204013	20989758.699829623
10.9163879599	21144238.681814127
10.9966555184	21274290.453234434
11.0769230769	21417845.298355114
11.1571906355	21538411.49890164
11.237458194	21685793.23564612
11.3177257525	21815023.348864924
11.397993311	21904809.474843953
11.4782608696	22218626.29273755
11.5585284281	22390137.643086534
11.6387959866	22579620.815690212
11.7190635452	22739545.417850014
11.7993311037	22933189.15028911
11.8795986622	23063454.787534624
11.9598662207	23329793.00342921
12.0401337793	23543257.052605104
12.1204013378	23760692.053249627
12.2006688963	23941939.976681024
12.2809364548	24121716.98312995
12.3612040134	24460064.8847337
12.4414715719	24757871.627548065
12.5217391304	25126476.302704796
12.602006689	25381597.12792203
12.6822742475	25629021.57482795
12.762541806	26082596.220575687
12.8428093645	26554099.755306322
12.9230769231	27204161.584444214
13.0033444816	28317517.285728652
13.0836120401	29446964.20283864
13.1638795987	29364747.715409365
13.2441471572	28935235.27374764
13.3244147157	29007036.715963133
13.4046822742	29376660.124490093
13.4849498328	29904045.26756778
13.5652173913	30614180.215261284
13.6454849498	30710861.685036715
13.7257525084	30454509.181992915
13.8060200669	30525566.335417084
13.8862876254	30831585.352946967
13.9665551839	31433130.70791514
14.0468227425	31615099.7484686
14.127090301	31765953.425406415
14.2073578595	31876894.284211867
14.2876254181	31857026.49469004
14.3678929766	32185282.553843435
14.4481605351	32479118.098277166
14.5284280936	32732204.938274376
14.6086956522	32736813.34999963
14.6889632107	32929817.287397772
14.7692307692	33277397.67678292
14.8494983278	33397645.320378143
14.9297658863	33490774.236770954
15.0100334448	33600066.883019246
15.0903010033	33820492.263958834
15.1705685619	34006937.03019795
15.2508361204	34118774.8560666
15.3311036789	34319022.862732515
15.4113712375	34560073.00278838
15.491638796	34670700.47535802
15.5719063545	34944933.04886446
15.652173913	35282048.48244537
15.7324414716	35507355.47309345
15.8127090301	35734398.304978214
15.8929765886	36007605.54408514
15.9732441472	36325276.99233848
16.0535117057	36653233.57048725
