<galaxypower>	<timestamp>
0.0	22053935.18267649
0.0802675585284	21833528.769989446
0.160535117057	21828118.42362064
0.240802675585	21967643.095318824
0.321070234114	21974512.39867141
0.401337792642	22115595.578892935
0.481605351171	22181083.103202313
0.561872909699	22270654.915579244
0.642140468227	22482110.278048426
0.722408026756	22908210.034660794
0.802675585284	23355990.874011084
0.882943143813	23551199.220431823
0.963210702341	23859591.356388714
1.04347826087	24666239.35080323
1.1237458194	24992461.807659052
1.20401337793	25682938.366002843
1.28428093645	26681946.62662254
1.36454849498	27692440.04250275
1.44481605351	27923507.515812863
1.52508361204	27676650.710353922
1.60535117057	27693303.06015296
1.6856187291	27767374.641588323
1.76588628763	28144915.411761023
1.84615384615	28968214.833925728
1.92642140468	30166972.114322513
2.00668896321	30758104.09964745
2.08695652174	30997434.5403628
2.16722408027	31762287.240886796
2.2474916388	31511064.095369376
2.32775919732	32034798.816067226
2.40802675585	32740026.102065604
2.48829431438	33284337.018890128
2.56856187291	33186652.72373324
2.64882943144	32140121.27358477
2.72909698997	31939318.752543464
2.80936454849	31070288.73206637
2.88963210702	30834499.662221536
2.96989966555	30582376.81651272
3.05016722408	29902355.011953834
3.13043478261	29287096.649018273
3.21070234114	28915701.180075284
3.29096989967	28483300.337989394
3.37123745819	28260731.806883566
3.45150501672	28110508.42117996
3.53177257525	27519046.23033744
3.61204013378	26813939.829473004
3.69230769231	26223062.299157985
3.77257525084	26042092.7547758
3.85284280936	25715114.26998882
3.93311036789	25343064.406484906
4.01337792642	25010991.922220837
4.09364548495	24671753.240693968
4.17391304348	23996060.209855963
4.25418060201	23688394.518983394
4.33444816054	23324151.539408304
4.41471571906	23195015.743387572
4.49498327759	22931774.421289723
4.57525083612	22765411.274333566
4.65551839465	22716354.52970528
4.73578595318	22607762.377558738
4.81605351171	22476433.54852634
4.89632107023	22146091.311717197
4.97658862876	21994061.669994544
5.05685618729	21867079.46736785
5.13712374582	21794242.68956748
5.21739130435	21730712.26614809
5.29765886288	21567105.84813008
5.3779264214	21471211.118942514
5.45819397993	21248603.392797247
5.53846153846	21214809.37680855
5.61872909699	21106811.274431493
5.69899665552	21023640.30369296
5.77926421405	20872289.802752726
5.85953177258	20894126.52934143
5.9397993311	20852909.407075014
6.02006688963	20790687.463458214
6.10033444816	20727842.285673656
6.18060200669	20554057.729591094
6.26086956522	20516329.26950094
6.34113712375	20543211.38580757
6.42140468227	20572870.134265255
6.5016722408	20528081.993149374
6.58193979933	20430029.318160217
6.66220735786	20532415.100854754
6.74247491639	20458393.384861786
6.82274247492	20379335.88096354
6.90301003344	20436584.493655607
6.98327759197	20481262.668061424
7.0635451505	20496591.31639387
7.14381270903	20500017.554374963
