<galaxypower>	<timestamp>
0.0	32196838.485602025
0.0802675585284	32335117.59679951
0.160535117057	32123831.775059912
0.240802675585	32078789.558556166
0.321070234114	31929502.494247723
0.401337792642	31952393.507958535
0.481605351171	32020914.70305758
0.561872909699	31785275.402423337
0.642140468227	31411567.677184112
0.722408026756	31305344.561373886
0.802675585284	31376371.417261053
0.882943143813	30930933.787566487
0.963210702341	30830875.515657865
1.04347826087	30954691.670775823
1.1237458194	31042487.195950165
1.20401337793	30735042.456293147
1.28428093645	30562719.627440818
1.36454849498	30598391.666628134
1.44481605351	31048130.74966337
1.52508361204	31288159.057085946
1.60535117057	31186700.23478879
1.6856187291	31318062.884841405
1.76588628763	31457113.13711136
1.84615384615	32130504.201094028
1.92642140468	32779508.432902098
2.00668896321	33166328.692037325
2.08695652174	33306479.966714732
2.16722408027	33464067.03533091
2.2474916388	33782069.358227916
2.32775919732	33541258.806355666
2.40802675585	33739018.30048655
2.48829431438	34023638.101040006
2.56856187291	34386898.65176799
2.64882943144	34662414.3215533
2.72909698997	34478805.96555057
2.80936454849	34582542.58405338
2.88963210702	35009085.265069015
2.96989966555	34172290.176805735
3.05016722408	33983168.411494166
3.13043478261	33708555.02125743
3.21070234114	33338942.503823046
3.29096989967	32872765.63076517
3.37123745819	32264146.480233245
3.45150501672	32000803.729428638
3.53177257525	31498348.90314695
3.61204013378	31176300.577178676
3.69230769231	31100284.71754631
3.77257525084	30773046.001888607
3.85284280936	30346281.40033061
3.93311036789	30097947.1993286
4.01337792642	30179524.69345611
4.09364548495	30034004.146457747
4.17391304348	29922143.406529773
4.25418060201	29969917.91108313
4.33444816054	30012224.44906239
4.41471571906	29991412.583017156
4.49498327759	30156835.397018593
4.57525083612	30332742.118479323
4.65551839465	30503749.428925365
4.73578595318	30679522.716809202
4.81605351171	31049274.06978212
4.89632107023	31067586.893877372
4.97658862876	31120665.44282389
5.05685618729	31168455.288701132
5.13712374582	31240970.230685413
5.21739130435	31149390.608321074
5.29765886288	31411082.1714111
5.3779264214	31577009.901730936
5.45819397993	31654819.2577253
5.53846153846	31724804.286821406
