<galaxypower>	<timestamp>
0.0	25813449.78008803
0.0802675585284	25810410.492668584
0.160535117057	25981072.806997415
0.240802675585	26066072.246081162
0.321070234114	26240540.945296645
0.401337792642	26262782.902376767
0.481605351171	26320738.831200037
0.561872909699	26200585.79768982
0.642140468227	26239084.635565862
0.722408026756	26595160.204993617
0.802675585284	26705317.404554047
0.882943143813	26507514.484789412
0.963210702341	26353515.812545974
1.04347826087	26576160.25902047
1.1237458194	26692122.038555074
1.20401337793	26733882.52055876
1.28428093645	26806026.64296524
1.36454849498	27004029.665966135
1.44481605351	26932954.721239943
1.52508361204	26736989.729170818
1.60535117057	26625616.742299788
1.6856187291	26631216.23193673
1.76588628763	26650463.268078312
1.84615384615	26835784.55756454
1.92642140468	27081951.470027555
2.00668896321	27231090.64309367
2.08695652174	27375068.7854119
2.16722408027	27549788.94258486
2.2474916388	27545376.300488707
2.32775919732	27659725.372635666
2.40802675585	27844280.435776528
2.48829431438	27887541.563242044
2.56856187291	27958006.85438617
2.64882943144	27893733.89049712
2.72909698997	27975815.030010857
2.80936454849	27835575.096115816
2.88963210702	27809976.509659436
2.96989966555	27774490.237106822
3.05016722408	27718039.679265887
3.13043478261	27683500.879903916
3.21070234114	27688762.134209644
3.29096989967	27725303.522969283
3.37123745819	27777604.579810884
3.45150501672	27823936.12136474
3.53177257525	27718755.927578818
3.61204013378	27752151.993839692
3.69230769231	27742911.84161832
3.77257525084	27762255.20451063
3.85284280936	27696992.532377757
3.93311036789	27704372.173671022
4.01337792642	27770841.287066124
4.09364548495	27836861.719210643
4.17391304348	27862160.843515523
4.25418060201	27889737.68784439
4.33444816054	27879874.382989764
4.41471571906	27961830.692865036
4.49498327759	28085615.330998152
4.57525083612	28224094.50144081
4.65551839465	28358618.33475738
4.73578595318	28419546.246800605
4.81605351171	28438794.039436635
4.89632107023	28425596.78604856
4.97658862876	28403178.86653025
5.05685618729	28495663.56477427
5.13712374582	28547120.5489894
5.21739130435	28425875.282521717
5.29765886288	28400051.79617074
5.3779264214	28306504.71250814
5.45819397993	28180794.028205812
5.53846153846	28189746.532943994
5.61872909699	28170373.033258688
5.69899665552	28075352.455883767
5.77926421405	27895574.05841742
5.85953177258	27663928.98064406
5.9397993311	27370987.973011427
6.02006688963	27163821.0416645
6.10033444816	26996595.408745244
6.18060200669	26763543.392278437
6.26086956522	26542327.900453623
6.34113712375	26247751.824049264
6.42140468227	26032362.316992924
6.5016722408	25846396.493793476
6.58193979933	25566665.891540498
6.66220735786	25293794.137703013
6.74247491639	24955347.75105117
6.82274247492	24609264.72893441
6.90301003344	24412385.58658026
6.98327759197	24228390.02930247
7.0635451505	24022039.89353459
7.14381270903	23841668.77256731
7.22408026756	23506557.002284035
7.30434782609	23210045.797820218
7.38461538462	22905997.708211858
7.46488294314	22736552.800557587
7.54515050167	22569176.92048193
7.6254180602	22348652.868423626
7.70568561873	22158218.499676522
7.78595317726	21871665.844550613
7.86622073579	21679080.676306292
7.94648829431	21504917.461021625
8.02675585284	21349811.92412559
8.10702341137	21073794.44123884
8.1872909699	20862799.779845998
8.26755852843	20724524.119985815
8.34782608696	20440756.221730884
8.42809364548	20184368.44128497
8.50836120401	20006809.25275321
8.58862876254	19952656.122256126
8.66889632107	19794872.98173208
8.7491638796	19705798.669442873
8.82943143813	19616819.10264866
8.90969899666	19437670.32154065
8.98996655518	19288362.03458012
9.07023411371	19266595.508269902
9.15050167224	19216855.324322347
9.23076923077	19105018.237649012
9.3110367893	19088989.78272336
9.39130434783	19069399.23992919
9.47157190635	19008937.3942919
9.55183946488	19079376.562862746
9.63210702341	19091305.89278555
9.71237458194	19097470.818236932
9.79264214047	19125819.176128473
9.872909699	19178005.301366292
9.95317725753	19189528.890964538
10.0334448161	19238899.46843822
10.1137123746	19373312.554859847
10.1939799331	19385712.10310453
